status,question_id,question_text,old_sub_power,NEW_category,hospitality_module,type,polarity,options,unit,source_note
existing,323ffcf1-749b-43f3-bf34-1de6b8b1ca67,What is your max bonus % opportunity by level?,Incentives,Incentives,,matrix,neutral,,,
existing,3faf1f0c-f753-497f-a395-384bba38c5e3,What is the average annual private medical insurance (PMI) premium for each level of coverage?,Benefits,Benefits,,matrix,neutral,,,
existing,a7ed418e-b057-4b70-ab58-31e897b7c1b6,"On average, what is the total annual payment for each allowance type?",Pay,Pay,,matrix,neutral,,,
existing,ALLOW_01,Which allowances are offered to employees?,Pay,Pay,,multi_select,higher_is_better,,,
existing,ALLOW_02,Are allowances reviewed regularly as part of reward governance?,Pay,Pay,,yes_no,higher_is_better,,,
existing,ALLOW_03,Are allowances pensionable?,Pay,Pay,,single_select,higher_is_better,,,
existing,ALLOW_04,Are allowances differentiated by role level?,Pay,Pay,,yes_no,higher_is_better,,,
existing,b1785613-96ed-4a64-9fd7-762d0ac65f19,What is the employee notice period by level?,Benefits,Benefits,,matrix,higher_is_better,,,
existing,CAR_BN_02,What criteria are used to determine eligibility for a business need company car?,Benefits,Benefits,,multi_select,higher_is_better,,,
existing,CAR_COST_02,Are low-emission or electric vehicles mandated or prioritised for company cars?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,CAR_STATUS_01,Does your organisation provide company cars as a status or grade-based benefit?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,CAR_STATUS_03,Are employees eligible to choose between a status-based company car and a cash allowance?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_001,Is there an approximate annual recognition budget per employee?,Pay,Recognition,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_002,What is the typical value of an individual recognition award?,Pay,Recognition,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_003,Are there limits on how frequently an individual can receive recognition awards?,Pay,Recognition,,single_select,neutral,,,
existing,EXT_REW_GAP_004,Do you operate a long service award scheme?,Pay,Recognition,,single_select,neutral,,,
existing,EXT_REW_GAP_005,Which length-of-service milestones are recognised through long service awards?,Pay,Recognition,,multi_select,neutral,,,
existing,EXT_REW_GAP_006,How are long service awards typically provided?,Pay,Recognition,,single_select,neutral,,,
existing,EXT_REW_GAP_007,What is the typical value of a long service award at the main milestone?,Pay,Recognition,,single_select,higher_is_better,,,
existing,EXT_REW_GAP_009,"For roles that support remote working, how often are employees expected to attend a workplace?",Pay,Wellbeing,,single_select,neutral,,,
existing,EXT_REW_GAP_010,Where are remote employees permitted to work from?,Pay,Wellbeing,,single_select,neutral,,,
existing,EXT_REW_GAP_011,Which home-working expenses are typically reimbursed or covered?,Pay,Wellbeing,,multi_select,neutral,,,
existing,EXT_REW_GAP_012,Are employee benefits reviewed regularly to assess relevance and value?,Benefits,Benefits,,single_select,neutral,,,
existing,EXT_REW_GAP_013,How often are employees typically paid?,Pay,Pay,,single_select,neutral,,,
existing,fa0f46f6-61e3-41d1-a2d1-3e57483bb1cf,What is the annual car allowance amount by level?,Pay,Benefits,,matrix,neutral,,,
existing,OT_03_1a68c68a,Is time off in lieu (TOIL) offered as an alternative to paid overtime?,Pay,Time Off,,single_select,higher_is_better,,,
existing,OT_04_b14623a6,Are shift premiums paid for unsocial hours?,Pay,Pay,,single_select,higher_is_better,,,
existing,PAYTR_01_42eae7ec,Do job adverts typically include a salary or salary range?,Pay,Governance,,single_select,higher_is_better,,,
existing,PAYTR_02_131bd412,Are pay bands or salary ranges visible to employees?,Pay,Pay,,single_select,higher_is_better,,,
existing,PAYTR_03_db0108d6,Is there a formal policy describing pay progression within bands?,Pay,Governance,,single_select,higher_is_better,,,
existing,RED_COST_01,What was the average redundancy cost per employee in the last completed 12-month period?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,RED_NOTICE_01,How is notice typically handled in redundancy situations?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,RED_PAY_01,What pay basis is typically used to calculate redundancy payments?,Pay,Benefits,,single_select,higher_is_better,,,
existing,RED_PROC_01,Is there a documented redundancy process applied consistently?,Benefits,Benefits,,yes_no,higher_is_better,,,
existing,RED_PROC_02,Are selection criteria for redundancy documented and objective?,Benefits,Benefits,,yes_no,higher_is_better,,,
existing,RED_PROC_03,Are redundancy outcomes reviewed for fairness and bias?,Benefits,Benefits,,yes_no,higher_is_better,,,
existing,RED_PROC_04,Is outplacement or career transition support offered?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,RED_PROC_05,Are line managers trained to manage redundancy conversations?,Benefits,Benefits,,yes_no,higher_is_better,,,
existing,RED_TERM_01,What redundancy pay terms does your organisation typically offer?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,RED_TERM_02,"What is the maximum redundancy pay multiple offered, excluding notice?",Benefits,Benefits,,single_select,higher_is_better,,,
existing,RED_TERM_03,What is the maximum number of weeks' pay used to calculate redundancy payments?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,REW_BEN_038,Which of the following benefits are currently offered to employees?,Benefits,Benefits,,multi_select,neutral,,,
existing,REW_BEN_039,Does your organisation operate a flexible benefits platform (employees can choose/adjust benefits)?,Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_041,What is the maximum additional leave that can typically be purchased per year?,Benefits,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_044,What are the private medical insurance (PMI) eligibility rules?,Benefits,Benefits,,multi_select,neutral,,,
existing,REW_BEN_045,What life assurance cover is provided for the main population (multiple of salary)?,Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_046,Does your organisation offer income protection?,Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_047,"If income protection is offered, what is the typical waiting period?",Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_048,"If income protection is offered, what is the typical salary replacement rate?",Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_055,Are benefit costs tracked centrally as part of total reward reporting?,Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_058,"In the last 12 months, have you enhanced benefits in response to cost-of-living or labour market pressures?",Benefits,Pay,,single_select,neutral,,,
existing,REW_BEN_100,What proportion of employees are eligible for employer-funded PMI?,Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_102,What proportion of employees participate in salary sacrifice arrangements?,Benefits,Benefits,,single_select,neutral,,,
existing,REW_BEN_112,What is the typical employer pension contribution by level?,Benefits,Benefits,,matrix,neutral,,,
existing,REW_BEN_139,Which levels are eligible for employer-provided private medical insurance (PMI)?,Benefits,Benefits,,matrix,neutral,,,
existing,REW_BEN_FAM_001,How does your maternity and adoption pay compare to statutory provision?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_002,How many weeks of enhanced maternity and adoption pay are provided?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_005,Do you provide enhanced shared parental pay above statutory provision?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_006,Do you provide any paid parental leave beyond statutory unpaid parental leave?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_007,Do you provide paid carer's leave for employees with caring responsibilities?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_008,Do you provide paid emergency or compassionate leave?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_009,Do you provide paid study or exam leave?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_010,Do you provide paid volunteering leave?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_011,Do you offer sabbaticals or career breaks?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FAM_012,Do you provide specific paid leave related to menopause?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_FLEX_ALLOW_01,What is the annual flexible benefits allowance by employee level as a % of base pay?,Benefits,Benefits,,matrix,higher_is_better,,,
existing,REW_BEN_HOL_001,"How much annual leave do employees typically receive, excluding bank holidays?",Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_HOL_002,How are UK bank holidays treated for most employees?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_HOL_003,Can employees buy or sell annual leave?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_HOL_004,Is additional annual leave provided based on length of service?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_HOL_005,Can unused annual leave be carried over into the next leave year?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_HOL_006,What is the maximum number of additional annual leave days employees can typically buy?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_HOL_007,Are employees required to take annual leave during set shutdown periods?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_HOL_008,Can employees swap UK bank holidays for alternative days?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_PENS_EE_MAX_01,What is the MAX employee pension contribution rate by employee level?,Benefits,Benefits,,matrix,neutral,,,
existing,REW_BEN_PENS_EMP_MAX_01,What is the max employer pension contribution rate by employee level?,Benefits,Benefits,,matrix,higher_is_better,,,
existing,REW_BEN_REM_PAY_001,"If an employee moves from office-based to remote working, how is their base pay typically treated?",Pay,Wellbeing,,single_select,neutral,,,
existing,REW_BEN_REM_PAY_002,Which location is typically used to determine base pay for remote roles?,Pay,Wellbeing,,single_select,neutral,,,
existing,REW_BEN_REM_PAY_003,How are remote roles typically benchmarked for market pay?,Pay,Wellbeing,,single_select,neutral,,,
existing,REW_BEN_REM_PAY_004,Are pay decisions for remote roles reviewed to ensure consistency and fairness?,Pay,Wellbeing,,single_select,neutral,,,
existing,REW_BEN_REM_PAY_005,Do any pay premiums or discounts apply specifically to remote roles?,Benefits,Wellbeing,,single_select,neutral,,,
existing,REW_BEN_SICK_001,How does your occupational sick pay compare to statutory sick pay (SSP)?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_SICK_002,For how long is enhanced occupational sick pay typically provided?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_SICK_004,Is there a waiting period before occupational sick pay applies?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_SICK_005,Are eligibility rules for occupational sick pay clearly defined and documented?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_BEN_SICK_006,Are extended or repeated occupational sick pay cases reviewed before approval?,Pay,Time Off,,single_select,higher_is_better,,,
existing,REW_FAI_079,Does your organisation conduct gender pay gap analysis at least annually?,Transparency,Governance,,single_select,lower_is_better,,,
existing,REW_FAI_081,"Are pay decisions reviewed for fairness before implementation (e.g., calibration, central review)?",Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_082,Are exceptions to standard pay rules formally documented with justification?,Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_085,Does your organisation review pay outcomes for compression and internal equity as part of the annual pay cycle?,Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_086,Does your organisation review incentive outcomes by protected characteristic (where data is available and lawful)?,Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_087,Does your organisation have a documented pay transparency approach or policy?,Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_088,Do employees have access to pay ranges for their grade/role family?,Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_089,Does your organisation publish pay ranges on job adverts?,Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_091,"Over the next 12-24 months, do you plan to expand external pay transparency?",Transparency,Governance,,single_select,neutral,,,
existing,REW_FAI_092,"Have you completed a pay transparency readiness assessment (e.g., audit of structures, data quality, communications)?",Transparency,Governance,,single_select,higher_is_better,,,
existing,REW_FAI_128,Does your organisation test whether top performers are paid above market median after pay reviews?,Transparency,Pay,,single_select,neutral,,,
existing,REW_FAI_CANCEL_1bbcc629,Are hourly workers paid if scheduled shifts are cancelled at short notice?,Transparency,Pay,,single_select,higher_is_better,,,
existing,REW_FAI_MIN_HOURS_8518a543,Do hourly-paid roles have guaranteed minimum contracted hours?,Transparency,Pay,,single_select,higher_is_better,,,
existing,REW_FAI_STUDY_TIME_93b6ef22,Is paid study time provided for employees undertaking funded qualifications?,Transparency,Benefits,,single_select,neutral,,,
existing,REW_FAI_TRONC_GROUPS_e5639ac2,Which role levels participate in the tronc arrangement?,Pay,Pay,YES,matrix,neutral,,,
existing,REW_FAI_TRONC_TYPES_b5547658,Which types of tips are included in the tronc arrangement?,Transparency,Pay,YES,single_select,neutral,,,
existing,REW_FAIR_TIPS_DIST_7d34e570,How are tips or service charges distributed to employees?,Transparency,Pay,YES,single_select,neutral,,,
existing,REW_INC_060,Which measures are used in your main bonus or incentive scheme?,Incentives,Incentives,,multi_select,neutral,,,
existing,REW_INC_061,What is the typical individual/business % split of your main bonus scheme by level?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_065,"Is there a gatekeeper metric (e.g., profit, safety, compliance) that must be met for any payout?",Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_069,Are bonuses deferred for any population?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_070,Are malus provisions used (reduce unpaid awards) for misconduct/risk/compliance issues?,Incentives,Incentives,,single_select,lower_is_better,,,
existing,REW_INC_071,Are clawback provisions used (recover paid awards) in defined circumstances?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_072,Are sign-on bonuses used for any roles?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_077,"Are your incentives intended primarily to drive performance, retention, or cost control?",Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_103,What proportion of employees are eligible for a bonus scheme?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_104,"In the last 12 months, what was the average payout as a percentage of maximum bonus potential?",Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_111,What is the target bonus opportunity by level (as % of base salary)?,Incentives,Incentives,,matrix,neutral,,,
existing,REW_INC_131,Does your organisation operate any long-term incentive or equity plans for any levels?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_132,Which types of long-term incentive plans are offered?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_133,Which levels are eligible for long-term incentives?,Incentives,Incentives,,matrix,neutral,,,
existing,REW_INC_135,Does your organisation operate sales commission or commission-based incentive plans?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_136,Which commission plan structures are used?,Incentives,Incentives,,single_select,neutral,,,
existing,REW_INC_LTI_MAX_01,What is the max annual LTI as a % of base pay by employee level?,Incentives,Incentives,,matrix,higher_is_better,,,
existing,REW_INC_LTI_VALUE_TYP_01,What is the target annual LTI as a % of base pay by employee level?,Incentives,Incentives,,matrix,higher_is_better,,,
existing,REW_PAY_001,Are formal pay ranges defined for all permanent roles?,Pay,Governance,,single_select,neutral,,,
existing,REW_PAY_002,Are pay ranges linked to a documented job evaluation or grading framework?,Pay,Governance,,single_select,neutral,,,
existing,REW_PAY_003,How often are pay ranges reviewed and refreshed using market data?,Pay,Governance,,single_select,neutral,,,
existing,REW_PAY_005,What is your ideal market position for Pay?,Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_006,Does your organisation use external pay benchmark data when setting pay ranges or offers?,Pay,Governance,,single_select,neutral,,,
existing,REW_PAY_007,Which sources do you use for external pay benchmarks?,Pay,Pay,,multi_select,neutral,,,
existing,REW_PAY_011,Do you pay overtime?,Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_014,What is the standard premium for working on UK bank holidays where applicable?,Pay,Time Off,,single_select,neutral,,,
existing,REW_PAY_016,Which allowances or premiums are currently paid?,Pay,Pay,,multi_select,neutral,,,
existing,REW_PAY_017,"For on-call arrangements, how is the allowance typically paid?",Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_018,"Is there a minimum call-out payment for call-outs (e.g., minimum hours paid)?",Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_019,"Are allowances consolidated into base pay at any point (e.g., on promotion or contract change)?",Pay,Governance,,single_select,neutral,,,
existing,REW_PAY_020,Are allowances pensionable by employee level?,Pay,Pay,,matrix,neutral,,,
existing,REW_PAY_021,Are allowances included in holiday pay calculations where relevant?,Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_022,How do you apply for your salary review budget?,Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_023,What Factors do you use to set your annual pay budget?,Pay,Pay,,multi_select,neutral,,,
existing,REW_PAY_097,Are pay increases differentiated by performance rating?,Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_109,Which role levels are eligible for a status car allowance or lease car?,Pay,Benefits,,matrix,neutral,,,
existing,REW_PAY_126,Over the past two years has your pay mix changed?,Pay,Pay,,single_select,neutral,,,
existing,REW_PAY_EV_KWH_66ef252b,What reimbursement rate (in pence per kWh) do you apply for business-related EV charging at an employee's home?,Pay,Benefits,,single_select,higher_is_better,,,
existing,REW_PAY_HOURLY_MIN_1c6e096f,What is the lowest base hourly rate paid to any directly employed worker (excluding apprentices)?,Pay,Pay,,single_select,higher_is_better,,,
existing,REW_PAY_MKT_POS_01,"On average, where does base salary sit versus market median by employee level?",Pay,Pay,,matrix,neutral,,,
existing,REW_PAY_TIPS_EXIST_7c80c508,Do employees receive customer tips or service charges as part of their total earnings?,Pay,Pay,YES,single_select,neutral,,,
existing,REW_PAY_TRONC_6db81475,Are tips or service charges distributed through a formal tronc arrangement?,Pay,Pay,YES,single_select,neutral,,,
existing,REW_PRO_030,Is progression eligibility linked to performance outcomes?,Progression,Governance,,single_select,neutral,,,
existing,REW_PRO_034,Does your organisation use promotion guidelines that specify recommended salary positioning on promotion?,Progression,Governance,,single_select,neutral,,,
existing,REW_PRO_035,What is pay progression based on outside of the annual review and promotions?,Progression,Governance,,single_select,neutral,,,
existing,REW_PRO_098,What is the typical maximum pay increase for promotions?,Progression,Governance,,single_select,higher_is_better,,,
existing,REW_Q049530,What mileage is required to be eligible for a business need company car?,Pay,Benefits,,single_select,neutral,,,
existing,REW_Q524161,What is the employer notice period by level?,Benefits,Benefits,,matrix,higher_is_better,,,
existing,REW_Q528801,What overtime multiplier is paid by shift type?,Pay,Incentives,,matrix,higher_is_better,,,
existing,REW_Q534581,"For hourly-paid roles, what pay multipliers apply by time band?",Pay,Incentives,,matrix,higher_is_better,,,
existing,PROP_202fecc6,"Does the organisation track enrolment and utilisation for key benefits (e.g., pension, private medical, wellbeing benefits)?",Benefits,Benefits,,single_select,higher_is_better,,,
existing,PROP_168a6213,To what extent is pay differentiated based on scarce skills/certifications (pay-for-skills) rather than tenure or role alone?,Pay,Pay,,single_select,higher_is_better,,,
existing,PROP_cdff5737,"Does the organisation run pay equity analyses across comparable roles (e.g., gender, ethnicity, disability), and how often?",Transparency,Governance,,single_select,higher_is_better,,,
existing,PROP_674db2fc,"Does the organisation provide total reward statements to employees, and what proportion of employees access them annually?",Transparency,Governance,,single_select,higher_is_better,,,
existing,PROP_e63cf45a,What was total workforce cost as a percentage of revenue in the last completed financial year?,Pay,Pay,,numeric,lower_is_better,,,
existing,PROP_d16bae79,What was total workforce cost per FTE in the last completed financial year (in GBP)?,Pay,Pay,,numeric,lower_is_better,,,
existing,PROP_930043cc,Does your organisation run ethnicity pay gap analyses at least annually?,Transparency,Governance,,single_select,higher_is_better,,,
existing,PROP_10d1211d,Does your organisation run disability pay gap analyses (or pay equity analyses by disability status) at least annually?,Transparency,Governance,,single_select,higher_is_better,,,
existing,PROP_7d858df2,"Are core benefits inclusive for LGBTQ+ employees (e.g., partner benefits for same-sex partners, inclusive family benefits)?",Benefits,Benefits,,single_select,higher_is_better,,,
existing,PROP_11a83d52,Do benefits or health plans include support that is explicitly trans-inclusive (where applicable/legally permitted)?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,PROP_8862fcad,"Does your organisation have a documented total rewards strategy that integrates pay, benefits, wellbeing and career (or equivalent pillars)?",Transparency,Governance,,single_select,higher_is_better,,,
existing,PROP_d65a16e9,When was your total rewards strategy last refreshed or formally reviewed?,Transparency,Governance,,single_select,higher_is_better,,,
existing,PROP_216f7323,Which pillars are explicitly included in your total rewards strategy?,Transparency,Governance,,multi_select,higher_is_better,,,
existing,PROP_38555969,"Do you have a documented annual reward/benefits communication plan (e.g., pay review comms, benefits comms, wellbeing comms)?",Transparency,Governance,,single_select,higher_is_better,,,
existing,PROP_aa4061d5,How does your organisation measure the effectiveness of reward/benefits communications?,Transparency,Governance,,multi_select,neutral,,,
existing,PROP_8e0b6316,How often is the organisation's main pay review cycle (for salary increases) conducted?,Pay,Pay,,single_select,higher_is_better,,,
existing,PROP_9e4ad87f,What was the overall salary increase budget (merit/annual review) as a percentage of payroll in the last completed pay review?,Pay,Pay,,numeric,neutral,,,
existing,PROP_634adacd,What was the typical (median) base salary increase for eligible employees in the last completed pay review?,Pay,Pay,,single_select,neutral,,,
existing,PROP_3d4fc4e7,What proportion of employees actively enrol in at least one optional/flexible benefit (excluding statutory benefits)?,Benefits,Benefits,,single_select,neutral,,,
existing,PROP_36b990f9,What was employer pension contribution as a typical percentage of pensionable pay for the main population?,Benefits,Benefits,,single_select,neutral,,,
existing,PROP_fe1a29ec,"Do you use external pay/benefits benchmarking data (e.g., salary surveys) at least annually to inform pay decisions?",Pay,Pay,,single_select,higher_is_better,,,
existing,PROP_dff9a2a5,What proportion of employees received a base pay increase in the last completed pay review cycle?,Pay,Pay,,single_select,neutral,,,
existing,PROP_c1a3da61,Do you offer relocation support for hires who need to move location for their role?,Benefits,Benefits,,single_select,higher_is_better,,,
existing,PROP_d992b2ea,Is there a standard minimum time-in-role or time-in-grade expectation before promotion (where applicable)?,Progression,Governance,,single_select,higher_is_better,,,
existing,PROP_e1d1e604,Approximately what proportion of employees receive an off-cycle pay increase outside the annual review (excluding promotions) in a typical year?,Progression,Governance,,single_select,neutral,,,
existing,PROP_34ffb6e2,Which best describes how promotion decisions are governed?,Progression,Governance,,single_select,higher_is_better,,,
existing,PROP_ef4ff31e,Do you monitor promotion rates by protected characteristics to identify equity issues?,Progression,Governance,,single_select,higher_is_better,,,
NEW,(assign new id),Do you provide an Employee Assistance Programme (EAP)?,(new),Wellbeing,,yes_no,higher_is_better,Yes / No,,Wellbeing core element - absent
NEW,(assign new id),Which mental-health support provisions are offered?,(new),Wellbeing,,multi_select,higher_is_better,MH first aiders; Counselling; Digital app; Manager training; MH days; None,,#1 reward trend 2025
NEW,(assign new id),Do you offer a financial wellbeing programme?,(new),Wellbeing,,yes_no,higher_is_better,Yes / No,,CIPD strategic priority
NEW,(assign new id),Is there an annual wellbeing budget per employee?,(new),Wellbeing,,numeric,higher_is_better,£,£,Quantifies wellbeing investment
NEW,(assign new id),Do you offer health screening or health assessments?,(new),Wellbeing,,yes_no,higher_is_better,Yes / No,,Common health benefit not captured
NEW,(assign new id),"Is there a documented wellbeing strategy, and how often reviewed?",(new),Wellbeing,,single_select,higher_is_better,No strategy; Ad hoc; Annual; >Annual,,Maturity angle
NEW,(assign new id),What type of pension scheme is offered to the main population?,(new),Benefits,,single_select,neutral,DC; DB; Hybrid; None,,Scheme type missing
NEW,(assign new id),Does the scheme meet the PLSA quality-mark threshold (12% total / 6% employer)?,(new),Benefits,,yes_no,higher_is_better,Yes / No,,PLSA UK standard
NEW,(assign new id),"Do you offer pension contribution matching, and up to what level?",(new),Benefits,,single_select,higher_is_better,None; Up to 3%; Up to 5%; Up to 8%; >8%,,Key UK pension lever
NEW,(assign new id),Is pension offered via salary sacrifice by default?,(new),Benefits,,yes_no,higher_is_better,Yes / No,,Tax-efficiency practice
NEW,(assign new id),Employer pension cost as a % of total reward spend?,(new),Benefits,,numeric,neutral,%,%,Sizes pension in total reward
NEW,(assign new id),Do you operate a skills- or capability-based pay framework?,(new),Pay,,yes_no,neutral,Yes / No,,WorldatWork skills-based accelerator
NEW,(assign new id),Which job levels are covered by a formal job-evaluation / levelling framework?,(new),Pay,,multi_select,higher_is_better,All; Senior only; Some families; None,,Levelling underpins transparency
NEW,(assign new id),How prepared are you for the EU Pay Transparency Directive (2026)?,(new),Governance,,single_select,higher_is_better,Not started; Assessing; Planning; Implementing; Compliant,,Timely 2026 differentiator
