metric_id,classification,na_share_pct,confidence,proposed_base,parent_qid,parent_condition,coherence_check,rationale,flags
REW265_INC_SIPELEM,a_conditioning_child,87.3,high,orgs operating a SIP = SHAREPLAN 'SIP' or 'Both' (n=18),REW264_INC_SHAREPLAN,"REW264_INC_SHAREPLAN in ('SIP','Both') (SIP operated)","192 'No SIP operated' vs 202 SHAREPLAN-no-SIP (SAYE/Neither/no-shares); overlap 186; only 6 N/A-but-SIP-Yes; 16 no-SIP-but-listed-elements. Of 28 substantive answerers, 12 are SHAREPLAN SIP/Both. Best N/A-side coherence of the big-share metrics.","Question text is literally 'If a SIP is offered, which elements are used?' - textbook conditioning child of the SHAREPLAN family parent named in the sweep brief. 'No SIP operated' leaves graph+n.",Share-plan family (SHAREPLAN parent of SIPELEM/SHAREPART; SAYEDISC same family per brief). Applicable base is tiny (18) - incidence-tier / small-n suppression check needed before rendering (r3sw8 gate extensions).
REW265_INC_SHAREPART,a_conditioning_child,80.5,high,"orgs operating an all-employee share plan = REW264_INC_SHAREPLAN in {SAYE, SIP, Both} (n=43); 'Not applicable' (177) leaves graph+n",REW264_INC_SHAREPLAN,"answer in {SAYE, SIP, Both} (all-employee share plan operated)","177 child-N/A vs 177 parent-No ('Neither' 138 + 'Not applicable (no shares)' 39): overlap 177, 0 N/A-but-parent-Yes, 0 parent-No-but-substantive. Base check: 43 substantive child answers (17+13+9+4) = 43 parent-Yes exactly.",Direct exists-gate in the bank ('Do you operate an all-employee share plan (SAYE/Sharesave or SIP)?') with PERFECT live set coherence — the cleanest conditioning case in the batch.,Share-plan family per register: SHAREPLAN parent of SIPELEM/SAYEDISC/SHAREPART — all three children should adopt this same parent definition. Parent's own duplicate absence pair ('Neither' + 'Not applicable (no shares)') is an option-redesign candidate but does not affect the gate (both = parent-No).
REW265_INC_SAYEDISC,a_conditioning_child,80.5,high,orgs operating SAYE = REW264_INC_SHAREPLAN 'SAYE' or 'Both' (n=31),REW264_INC_SHAREPLAN,"REW264_INC_SHAREPLAN in ('SAYE','Both') — the SAYE-operating side (n=31)",43 non-N/A vs 31 SHAREPLAN SAYE/Both: all 31 contained (0 parent-Yes-but-N/A); the 12 extras are EXACTLY the 12 SIP-only orgs (verified: their SHAREPLAN answers = Counter({'SIP': 12})) — SAYEDISC non-N/A set == any-plan set (SAYE+SIP+Both=43). Seeds gated the child on any-plan instead of the SAYE side.,"'If SAYE is offered...' has its exact parent in the bank. Coherence is one-directionally clean: every SAYE/Both org answered a discount, zero SAYE orgs sit in N/A.","Share-plan family: REW264_INC_SHAREPLAN parent of REW265_INC_SAYEDISC (SAYE side) / REW265_INC_SIPELEM (SIP side) / REW265_INC_SHAREPART (any-plan side). SHAREPART is PERFECT (non-N/A == any-plan 43); SIPELEM is messy (28 non-'No SIP' vs 18 SIP/Both, overlap 12). Seed repair: flip the 12 SIP-only SAYEDISC answers to N/A. REW264_INC_EMICSOP is the discretionary-plan sibling with its own 'no share capital' N/A."
REW263_BEN_CICOVER,a_conditioning_child,76.4,high,orgs offering critical illness cover = REW_BEN_038 tick 'Critical illness cover' (n=42); both 'Not offered' (86) and 'Not applicable' (82) leave graph+n,REW_BEN_038,tick 'Critical illness cover' (CRITICAL_ILLNESS_COVER),"168 child no-CI orgs (86 'Not offered' + 82 'Not applicable') vs 178 parent-No (no CI tick): overlap 137; 31 N/A-but-parent-Yes; 41 parent-No-but-substantive. Substantive answers (52) exceed tick base (42) — messy, seed-repair.","Level-of-cover child with the established benefits-presence authority as parent (r3sw6/r3sw8 REW_BEN_038 precedent); 'Not offered' and 'Not applicable' are duplicate parent-absence encodings, not stances.",Duplicate N/A pair ('Not offered' + 'Not applicable') should collapse to one code at option redesign; combined na_share is 76.4 (worst single option 39.1); insured-benefits family with REW_BEN_045 / GIPREHAB all gating on REW_BEN_038 ticks.
REW263_INC_DEFERRAL,a_conditioning_child,71.8,medium,orgs that defer bonuses = REW_INC_069 deferral-users (n=182 nominal); 'Not applicable' (158) leaves graph+n,REW_INC_069,"answer in {Exec only, Senior leadership only, Wider population} (bonuses ARE deferred for some population)","158 child-N/A vs 23 parent-No ('No deferral'): overlap 17, 141 N/A-but-parent-Yes, 6 parent-No-but-substantive. Widening parent-No to include REW_INC_103 'None' (no bonus scheme, 41): parent-No=62, overlap 47, still 111 N/A-but-parent-Yes. Child's own 'No deferral' option (34) vs parent 'No deferral' (23): overlap only 3.",REW_INC_069 'Are bonuses deferred for any population?' is the semantically clean exists-gate for a question that opens 'For deferred bonuses…'; the parent is right even though the live sets are wildly incoherent.,"WORST set mess in batch — 141 orgs say deferral exists on the parent but answered N/A on the child; major seed-repair before conditioning can go live. Child's own 'No deferral' option duplicates the parent-No side (redesign candidate). Bonus family: REW_INC_103 (scheme gate) → REW_INC_069 (deferral gate) → REW263_INC_DEFERRAL; parent's 'Varies' option (15, is_na=true) needs a ruling on which side of the gate it sits."
REW264_WEL_EWACAP,a_conditioning_child,65,high,orgs offering EWA = REW264_WEL_EWA != 'No' (n=77),REW264_WEL_EWA,value != 'No' (offered = 'Yes all eligible' 44 / 'Yes hourly/frontline only' 22 / 'Piloting' 11; parent-No = 'No' 143),"PERFECT: 143 EWACAP-N/A vs 143 EWA='No' — 143/143 overlap, 0 mismatches either direction, 0 piloting orgs among the N/As; sibling REW264_WEL_EWAFEES's N/A set also identical 143/143",Clean parent-exists gate with fully coherent live sets — the cleanest conditioning candidate in this batch,EWA family: REW264_WEL_EWA parent; REW264_WEL_EWACAP + REW264_WEL_EWAFEES children with identical 143-org N/A sets; decide whether 'Piloting' (11) counts in the applicable base (it currently answers the children substantively)
REW264_WEL_EWAFEES,a_conditioning_child,65,high,orgs offering/piloting earned wage access = REW264_WEL_EWA != 'No' (n=77),REW264_WEL_EWA,REW264_WEL_EWA != 'No' (Yes all eligible 44 + Yes hourly/frontline 22 + Piloting 11),"PERFECT: 143 EWAFEES-N/A orgs == 143 EWA-'No' orgs, intersection 143, 0 N/A-but-parent-Yes, 0 parent-No-answering-substantively. All 11 Piloting orgs answered fees (so parent-Yes correctly includes Piloting). REW264_WEL_EWACAP N/A set verified byte-identical to EWAFEES N/A set.",Textbook conditioning child: 'If earned wage access is offered...' and the bank holds the exact exists-question REW264_WEL_EWA.,EWA family: REW264_WEL_EWA parent of REW264_WEL_EWAFEES + REW264_WEL_EWACAP — both children show identical perfect coherence; condition both in the same diff. Zero seed repair needed.
REW_BEN_041,a_conditioning_child,64.1,medium,orgs with a holiday-purchase scheme = REW_BEN_HOL_003 buy-side (n=110),REW_BEN_HOL_003,"value in ('Yes - both buy and sell options are available','Yes - buy only') = buy scheme exists (n=110; no-buy = 'No' 91 + 'Yes - sell only' 6)",141 'Not offered / not applicable' vs 97 no-buy: overlap 61; 70 N/A-but-parent-buy-Yes; 36 substantive-but-parent-no-buy. Sibling REW_BEN_HOL_006's 50 N/As cohere far better (47/50 inside no-buy),A clean buy/sell exists-question is in the bank; REW_BEN_041's N/A set is badly incoherent with it while its near-duplicate HOL_006 is nearly clean — class (a) with heavy seed-repair,"holiday-buy family: REW_BEN_HOL_003 parent; REW_BEN_041 and REW_BEN_HOL_006 are NEAR-DUPLICATE children (both ask max purchasable days; N/A 141 vs 50 — mutually incoherent, consider retiring one); WEL_BMAP_WLB_TIME_OFF_001 'Annual Leave Buy Scheme' tick (89) is a third presence signal; HOL_003 carries a DK (10) → blanket-DK diff"
REW264_HLT_GIPREHAB,a_conditioning_child,58.2,high,orgs offering income protection = REW_BEN_038 tick 'Income protection' (n=62); 'Not applicable' (128) leaves graph+n,REW_BEN_038,tick 'Income protection' (INCOME_PROTECTION),"128 IP-N/A orgs vs 158 BEN_038 no-IP-tick: overlap 95, 33 N/A-but-parent-Yes, 63 parent-No-but-substantive. Alternative parent REW_BEN_046 'No' (140): overlap 102, 26 N/A-but-parent-Yes, 38 parent-No-but-substantive. The two parent authorities themselves disagree (BEN_038 no-tick 158 vs BEN_046 No 140).","Question text is explicitly conditioned ('If group income protection is offered…'); REW_BEN_038 ticks are the established presence authority (r3sw6/r3sw8), though the dedicated gate REW_BEN_046 also exists and fits the child slightly better.","IP family: REW_BEN_046 (gate) → REW_BEN_047, REW_BEN_048 ('If income protection is offered…' siblings, same treatment due), REW264_HLT_GIPREHAB, related REW264_HLT_RISKFLEXUP. Parent-choice needs a ruling: BEN_038 tick (precedent) vs BEN_046 (better set fit, richer semantics short/long-term); cross-authority mismatch is seed-repair either way."
REW_BEN_047,a_conditioning_child,58.2,high,orgs offering income protection = REW_BEN_038 tick 'Income protection' (n=62),REW_BEN_038,REW_BEN_038 includes tick 'Income protection' (INCOME_PROTECTION),"128 IP-N/A orgs vs 158 no-IP-tick orgs; overlap 95; 33 N/A-but-tick-Yes; 63 no-tick-but-substantive. 92 substantive waiting-period answers vs only 62 ticks - both sides need seed repair, parent semantically exact.","Question text 'If income protection is offered, what is the typical waiting period?' - the sweep's canonical (a); REW_BEN_038 is the established presence authority.","IP family under REW_BEN_038. Combined option label 'Not applicable / not offered' - single option, no dual-option problem (contrast REW263_BEN_DENTAL)."
REW263_BEN_DENTAL,a_conditioning_child,57.7,high,orgs offering dental cover = REW_BEN_038 tick 'Dental cover' (n=42),REW_BEN_038,REW_BEN_038 includes tick 'Dental cover' (DENTAL_COVER),N/A-set 188 (Not offered 61 + Not applicable 127) vs 178 no-dental-tick orgs; overlap 155; 33 N/A-but-tick-Yes; 23 no-tick-but-substantive. Only 9 of 32 substantive funding answers come from the 42 tick-Yes orgs - heavy seed repair.,Funding basis (employer-paid vs voluntary) only applies where dental is offered; REW_BEN_038 is the established benefits-presence authority (r3sw6/r3sw8 precedent) and carries a DENTAL_COVER tick. Both 'Not offered' and 'Not applicable' are parent-No markers and leave graph+n.,TWO redundant N/A-type options ('Not offered' + 'Not applicable') split 61/127 with no discernible semantic difference - merge/vestigialise in option redesign. Health-protection family under REW_BEN_038.
REW263_BEN_PMIEXCESS,a_conditioning_child,56.4,high,orgs offering PMI = REW_BEN_038 tick 'Private Medical Insurance (PMI)' (n=130) — same parent definition as the live REW265_BEN_PMICOMP declaration in data/applicable_bases.json (r3sw8/r3sw9 precedent),REW_BEN_038,tick 'Private Medical Insurance (PMI)',124 N/A vs 90 parent-No (038 answerers without PMI tick): overlap 52; 72 N/A-but-parent-Yes (PMI orgs answering N/A — worst offender in the batch); 38 parent-No-but-substantive,"PMI excess/cost-share only exists where PMI is offered; the established PMI presence authority is the REW_BEN_038 tick (r3sw6 premium re-base, r3sw8 PMICOMP). Parent is semantically exact; live sets are badly incoherent -> seed-repair work, not a classification doubt.","MESSY SETS — major seed repair (72 PMI-holding orgs sit on N/A; possible member reading of N/A as 'no excess' despite a 'No excess' option). PMI family: REW_BEN_038 tick parent of REW_BEN_044, REW_BEN_139, PMI premium matrix 3faf1f0c-..., REW265_BEN_PMICOMP (already declared), this metric."
REW264_BEN_EVSALSAC,a_conditioning_child,56.4,medium,orgs offering a sal-sac car scheme = REW_BEN_038 tick 'Salary sacrifice car scheme' (n=27 today — seed repair must reconcile before conditioning),REW_BEN_038,"tick 'Salary sacrifice car scheme' (established benefits presence authority, r3sw6/r3sw8 precedent)",124 EVSALSAC-N/A vs 193 non-tick orgs: 109 overlap; 15 N/A-but-parent-Yes; 84 parent-No-but-substantive — only 27 orgs tick the scheme in 038 while 96 describe its EV policy,"'If a salary sacrifice car scheme is offered...' is an explicit conditioning child; REW_BEN_038 carries the semantically exact tick, but the live sets are badly incoherent (seed-repair work)","sal-sac CAR family gates on REW_BEN_038 tick — distinct from the pension sal-sac family (REW264_PEN_SALSACIMPACT/SALSACRESPONSE/NICSHARING, which gate on REW26_BEN_SALSAC); 84 parent-No substantive children is the mess to reseed"
REW263_PAY_COMPARATIO,a_conditioning_child,45.5,medium,"orgs with formal pay ranges = REW_PAY_001 in ('Yes','Partially') (n=168)",REW_PAY_001,!= 'No' (Yes or Partially — formal pay ranges defined),"100 N/A vs 52 parent-No (REW_PAY_001='No'): overlap 23; 77 N/A-but-ranges-Yes/Partially; 29 parent-No-but-substantive. Alternative gate CAP_EFF_GRADES_cf89ff3e='No formal grade structure' (34) is worse: overlap 16, 84 N/A-but-graded","A compa-ratio / position-in-range target only exists where pay ranges with midpoints exist; REW_PAY_001 ('Are formal pay ranges defined for all permanent roles?') is the semantically right exists-gate in the bank. Sets are very messy (77 of 100 N/A orgs claim ranges) — classing (a) per the parent-is-semantically-right rule, with the mess flagged.","MESSY SETS — heavy seed repair either way; (b) is the defensible fallback if David rejects the REW_PAY_001 gate. 'No formal target' (36) is a substantive on-graph stance that partially overlaps the N/A meaning — watch for double-draining the base. Pay-structure family: REW_PAY_001/002/003, PAYTR_01/02, REW_FAI_088."
REW_BEN_045,a_conditioning_child,44.1,high,orgs offering life assurance = REW_BEN_038 tick 'Life assurance' (n=119); 'Not offered' (97) leaves graph+n,REW_BEN_038,tick 'Life assurance' (LIFE_ASSURANCE),97 'Not offered' vs 101 no-LA-tick: sizes nearly match but membership does not — overlap only 50; 47 N/A-but-parent-Yes; 51 parent-No-but-substantive. Substantive answers 123 vs tick base 119.,"Multiple-of-salary child of the established REW_BEN_038 presence authority (same shape as the PMI r3sw6/r3sw8 rebases); 'Not offered' is parent-absence, not a cover stance.",Heavy seed-repair: near-random 50/97 membership agreement despite matched sizes suggests the two were seeded independently. Insured-benefits family with REW263_BEN_CICOVER and GIPREHAB (all REW_BEN_038-tick gates).
REW265_INC_COMMCAP,a_conditioning_child,44.1,high,orgs operating commission plans = REW_INC_135='Yes' (n=36),REW_INC_135,value = 'Yes' ('Does your organisation operate sales commission or commission-based incentive plans?'; Yes 36 / No 184),"97 'Not applicable (no commission plans)' vs 184 135-No: all 97/97 N/As are parent-No (0 N/A-but-parent-Yes), but 87 parent-No orgs answered COMMCAP substantively","Textbook exists-gate in the bank; N/A direction is fully coherent, the 87 parent-No substantive answers are the seed mess to repair","commission family: REW_INC_135 parent of REW_INC_136 + REW265_INC_COMMCAP; three incompatible implied presence rates (135-Yes 36/220, 136-substantive 199/220, COMMCAP-substantive 123/220)"
REW264_PEN_NICSHARING,a_conditioning_child,40.5,medium,orgs with a pension sal-sac scheme = WEL_BMAP_FIN_SALARY_SACRIFICE_001 tick 'Salary Sacrifice for Pension Contributions' (n=120 of 213 answerers); 'No sal-sac scheme' (89) leaves graph+n,WEL_BMAP_FIN_SALARY_SACRIFICE_001,tick 'Salary Sacrifice for Pension Contributions',"89 child no-salsac vs 93 WEL_BMAP no-pension-tick: overlap 43, 46 N/A-but-parent-Yes, 50 parent-No-but-substantive. Alternative REW26_BEN_SALSAC 'No' (89 — identical size): overlap 58, 31 mismatched each way. Both candidates messy; neither cleanly generated the child.",'No sal-sac scheme' is a pure parent-absence encoding and the WEL_BMAP multi-select is the established benefits-presence authority for it; alternative REW26_BEN_SALSAC asks 'by default' which conflates presence with default-enrolment.,"Sal-sac family: REW264_PEN_NICSHARING, REW264_PEN_SALSACIMPACT, REW264_PEN_SALSACRESPONSE, REW_BEN_102 (participation), REW26_BEN_SALSAC — should all take the SAME parent definition when ruled. REW264_BEN_EVSALSAC is the separate car-scheme branch (gate = REW_BEN_038 tick 'Salary sacrifice car scheme'). Parent-choice ruling needed; seed repair on 46 N/A-but-parent-Yes orgs."
REW_BEN_044,a_conditioning_child,37.3,high,orgs offering PMI = REW_BEN_038 tick 'Private Medical Insurance (PMI)' (n=130),REW_BEN_038,REW_BEN_038 ticks 'Private Medical Insurance (PMI)' (130 tickers of 220) — the established PMI presence authority (r3sw6/r3sw8 precedent),"82 'Not offered' orgs (all pure single-option rows, no co-selection) vs 90 038-no-tick orgs: overlap only 40; 42 orgs say 'Not offered' on 044 while TICKING PMI on 038; 50 no-tick orgs answered eligibility rules. 92 incoherent orgs total.","'Not offered' on an eligibility-rules question is a parent-exists skip, and the platform already ruled REW_BEN_038 ticks the PMI existence authority (r3sw6 premium re-base; r3sw8 PMICOMP seeded over the 130 tickers). Same parent definition must apply here.",PMI family: REW_BEN_038 tick parent of REW_BEN_044 / REW_BEN_100 ('Not offered'=16 vs 90 no-tick — sibling wildly inconsistent) / REW263_BEN_PMIEXCESS (N/A 124) / PMI premium matrix. The 42+50 mess is major seed-repair work but the parent is the ruled authority — (a) stands.
REW_BEN_048,a_conditioning_child,34.1,high,orgs offering income protection = REW_BEN_046 != 'No' (n=80 of 220),REW_BEN_046,!= 'No' (Short-term only / Long-term only / Both — IP offered),"75 N/A vs 140 REW_BEN_046='No': overlap 75, ZERO N/A-but-parent-Yes (perfect one-way nesting); 65 parent-No-but-substantive (drift from post-June reshapes). Alternative REW_BEN_038 no-IP-tick (158): overlap 56, 19 N/A-but-tick-Yes — worse. The two authorities themselves disagree: 046-No vs 038-no-tick overlap 103; 37 046-No-but-tick-Yes; 55 tick-No-but-046-offering","Textbook 'If income protection is offered...' child. The David-signed apply_incprot.py precedent conditioned 047/048 on REW_BEN_046 explicitly ('every 046-No org -> Not applicable / not offered'), and the live N/A set is still perfectly nested in 046-No — a cleaner and precedent-backed alternative to the REW_BEN_038 IP tick, which contradicts the N/A set.","IP FAMILY: REW_BEN_046 parent of REW_BEN_047 (its N/A=128 differs from 048's 75 — intra-family drift, seed-repair) and 048; related REW264_HLT_GIPREHAB, REW264_HLT_RISKFLEXUP. Presence-authority conflict (REW_BEN_046 vs REW_BEN_038 IP tick disagree on 92 orgs) needs a reconciliation ruling; recommend 046 as THE IP authority given apply_incprot.py precedent."
REW_INC_071,a_conditioning_child,33.2,high,orgs with any bonus scheme = REW_INC_103 != 'None' (n=179); 'Not applicable' (73) leaves graph+n,REW_INC_103,answer != 'None' (some bonus scheme exists),73 child-N/A vs 41 parent-No (INC_103 'None'): overlap 41 — ALL parent-No orgs are inside the N/A set and 0 parent-No orgs gave substantive answers (r3sw5 assert still holds live); 32 N/A-but-parent-Yes remain (bonus-having orgs answering N/A).,r3sw5 (migrate_r3sw5_preaudit_bundle.py Part B) already did DATA-level clawback conditioning — bonus-less orgs were flipped to 'Not applicable' with a hard assert of zero clawback-Yes without a bonus scheme; this sweep adds the missing graph/denominator treatment on the same parent.,NOT already_conditioned in this sweep's sense — N/A still sits on the graph at 33%. The 32 bonus-having N/A orgs are the seed-repair: likely 'No' in substance (or LTI-only readings); needs a flip-or-keep ruling before base goes live. Bonus family with REW_INC_069/REW263_INC_DEFERRAL.
REW_PAY_019,a_conditioning_child,30.5,medium,orgs paying any allowance = REW_PAY_016 any tick except 'None' (n=215; parent-No side is currently EMPTY),REW_PAY_016,any tick except 'None' on 'Which allowances or premiums are currently paid?' (active successor of retired ALLOW_01; parent-No = 'None' tick),67 N/A vs 0 REW_PAY_016='None' orgs: overlap 0 — every one of the 67 N/A orgs ticks at least one allowance on 016 (215/215 answerers tick something),"N/A means 'no allowances to consolidate' and REW_PAY_016 is the semantically exact allowances presence authority, but its parent-No set is empty — class (a) on semantics with the whole 67-org N/A set flagged as seed mess","suspect N/A↔'Never' conflation ('Never' has only 3 answers vs 67 N/A — many N/As likely mean never-consolidated); allowances family: REW_PAY_016 authority, children REW_PAY_017/018/019/021 + ALLOW_02-04; until reseeded, conditioning on 016 is a no-op and behaves like re-percentage"
REW265_GOV_AIDISCLOSE,a_conditioning_child,28.6,high,orgs using AI in pay decisions = REW262_GOV_AIINPAY not 'No AI use' (n=88),REW262_GOV_AIINPAY,REW262_GOV_AIINPAY != 'No AI use' (org uses AI in pay decisions),"63 child-N/A vs 132 parent-'No AI use'; overlap only 36; 27 N/A-but-parent-uses-AI; 96 parent-No-but-substantive (No-AI orgs answering disclosure Yes/No/on-request). Sets very messy - substantial seed repair, but parent is definitionally right.",The N/A label literally names the parent condition ('no AI use in pay decisions') and the bank holds the exact gate question. Cleanest possible (a).,AI-governance family (REW262_GOV_AIINPAY parent). The 96 parent-No substantive answers are the single worst parent-side incoherence in this batch - flag for seed-repair queue.
REW263_INC_POOLFUND,a_conditioning_child,28.2,medium,orgs with a bonus scheme = REW_INC_103 not 'None' (n=179),REW_INC_103,REW_INC_103 != 'None' (a bonus scheme exists),62 child-N/A vs 41 scheme-None (all answered child); overlap 15; 47 N/A-but-scheme-Yes; 26 scheme-None-but-substantive. The N/A is conflating 'no scheme' (15) with 'scheme but no formal pool' (47).,"Pool funding basis presupposes a bonus scheme; REW_INC_103's 'None' side is the bank's scheme-exists authority. Parent semantically right, so (a) despite messy sets.","47 scheme-Yes N/A orgs likely mean 'no formal pool / fully discretionary' - that is a substantive stance; consider adding an on-graph 'No formal pool' option in redesign, else these orgs vanish from the conditioned base with no answer. Bonus family: REW_INC_103 parent of POOLFUND, REW_INC_104, REW_INC_060/061."
REW_BEN_HOL_006,a_conditioning_child,23,high,orgs where employees can buy leave = HOL_003 buy-side (n=110),REW_BEN_HOL_003,"REW_BEN_HOL_003 in ('Yes - both buy and sell options are available','Yes - buy only') (leave-buy available)",50 child-N/A vs 107 buy-No orgs who answered child; overlap 49 - only 1 N/A-but-buy-Yes org. N/A side near-perfectly coherent; the mess is 58 buy-No orgs giving substantive max-buy-days answers (seed repair).,Max-buyable-days only applies where a buy scheme exists; REW_BEN_HOL_003's buy-side is a clean exists-gate in the bank.,Don't know present on both parent and child (blanket-DK diff). Cleanest N/A-side coherence in batch (49/50).
REW_PAY_097,a_conditioning_child,20.5,medium,orgs using performance ratings = PERF_03 Yes-side (n=170; treatment of 19 PERF_03 DKs needs the blanket-DK ruling),PERF_03,PERF_03 != 'No – rating-less approach' — org uses performance ratings (Yes-all 46 + Yes-some 124 = 170; parent-No = 31 rating-less),"45 097-N/A vs 31 PERF_03 rating-less: overlap only 5. N/A composition measured org-by-org: 22 'ratings for some populations', 13 'ratings for all', 5 rating-less, 5 PERF_03-DK — 35/45 N/A orgs DO use ratings. 26 rating-less orgs answered differentiation substantively.","Differentiation-by-rating is definitionally impossible without ratings — PERF_03 is the semantically necessary gate and exists cleanly in the bank. Sets are very messy (see check), which per the sweep rule stays (a) with the mess logged as seed repair; note the live N/A answers mostly encode something else (likely 'no structured increase cycle'), so David may rule this down to (b).",PERF_03 DK (19) co-option — queued blanket-DK. Sibling REW263_PAY_MERITMATRIX shares the identical implicit gate — condition together. Ambiguity flag: 097's N/A may conflate 'no ratings' with 'no pay-increase cycle' (cf. PROP_8e0b6316's 9 no-pay-review orgs).
